Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,12.420000,13.060000,11.380000,11.580000,11.459626,47251800
2016-08-01,11.580000,12.880000,11.420000,12.560000,12.429440,65330982
2016-09-01,12.560000,13.480000,12.320000,12.780000,12.647152,89233873
2016-10-01,12.860000,13.160000,11.880000,12.120000,11.994013,69149450
2016-11-01,12.160000,12.620000,11.320000,11.800000,11.677340,71267924
2016-12-01,11.740000,12.240000,11.200000,11.700000,11.578379,38798575
2017-01-01,11.700000,11.720000,10.240000,10.600000,10.489814,28246919
2017-02-01,10.600000,11.320000,10.260000,10.980000,10.865863,34572320
2017-03-01,11.040000,12.380000,10.480000,10.980000,10.865863,81264966
2017-04-01,10.980000,11.540000,10.540000,11.200000,11.083576,35084111
2017-05-01,11.200000,11.360000,5.750000,5.980000,5.917838,221044021
2017-06-01,6.090000,6.090000,3.880000,4.100000,4.057381,628904786
2017-07-01,4.100000,5.830000,3.540000,4.660000,4.611559,406007263
2017-08-01,4.700000,5.630000,4.500000,5.300000,5.244907,282594095
2017-09-01,5.600000,5.620000,4.680000,4.800000,4.750104,184378932
2017-10-01,4.800000,4.990000,4.600000,4.690000,4.690000,93814358
2017-11-01,4.730000,4.880000,3.920000,3.950000,3.950000,88709912
2017-12-01,3.980000,4.300000,3.810000,4.150000,4.150000,62912248
2018-01-01,4.150000,4.850000,4.100000,4.730000,4.730000,119011060
2018-02-01,4.730000,4.730000,3.860000,4.340000,4.340000,57934732
2018-03-01,4.340000,4.700000,3.940000,3.980000,3.980000,118405213
2018-04-01,3.980000,4.030000,3.630000,3.830000,3.830000,32576931
2018-05-01,3.830000,4.180000,3.680000,4.040000,4.040000,50848257
2018-06-01,4.020000,4.250000,3.380000,3.520000,3.520000,58712228
2018-07-01,3.520000,3.670000,2.900000,3.240000,3.240000,39584642
2018-08-01,3.330000,3.330000,2.620000,2.980000,2.980000,47442800
2018-09-01,2.980000,2.980000,2.600000,2.940000,2.940000,23172000
2018-10-01,2.940000,3.000000,2.480000,2.670000,2.670000,16409160
2018-11-01,2.710000,3.050000,2.710000,3.000000,3.000000,14348503
2018-12-01,3.020000,3.090000,2.460000,2.650000,2.650000,13421090
2019-01-01,2.650000,2.940000,2.520000,2.900000,2.900000,7615320
2019-02-01,2.940000,3.210000,2.810000,3.080000,3.080000,15180000
2019-03-01,3.070000,3.490000,2.790000,2.890000,2.890000,30840040
2019-04-01,2.870000,3.340000,2.700000,2.880000,2.880000,74091812
2019-05-01,2.880000,2.880000,2.260000,2.350000,2.350000,24898773
2019-06-01,2.350000,2.350000,2.000000,2.110000,2.110000,25801500
2019-07-01,2.110000,2.270000,2.020000,2.060000,2.060000,48339137
2019-08-01,2.050000,2.060000,1.420000,1.440000,1.440000,33099028
2019-09-01,1.420000,2.000000,1.360000,1.410000,1.410000,69262000
2019-10-01,1.410000,1.450000,1.280000,1.300000,1.300000,16440000
2019-11-01,1.290000,1.530000,1.230000,1.310000,1.310000,17459000
2019-12-01,1.300000,1.520000,1.230000,1.300000,1.300000,15858598
2020-01-01,1.300000,1.390000,1.040000,1.090000,1.090000,15952500
2020-02-01,1.090000,1.190000,1.010000,1.070000,1.070000,11536044
2020-03-01,1.050000,1.060000,0.600000,0.830000,0.830000,29105397
2020-04-01,0.830000,0.950000,0.770000,0.830000,0.830000,41726413
2020-05-01,0.830000,0.870000,0.750000,0.750000,0.750000,37370318
2020-06-01,0.760000,1.450000,0.740000,1.340000,1.340000,192860000
2020-07-01,1.340000,1.620000,1.180000,1.240000,1.240000,147088998
2020-08-01,1.250000,1.570000,1.160000,1.450000,1.450000,89087794
2020-09-01,1.470000,1.470000,1.250000,1.310000,1.310000,29054014
2020-10-01,1.310000,2.040000,1.270000,1.650000,1.650000,109925600
2020-11-01,1.640000,1.880000,1.550000,1.680000,1.680000,49807399
2020-12-01,1.680000,1.680000,1.320000,1.520000,1.520000,26588397
2021-01-01,1.520000,1.950000,1.410000,1.680000,1.680000,74905130
2021-02-01,1.700000,4.100000,1.630000,2.710000,2.710000,239226727
2021-03-01,2.750000,2.970000,2.090000,2.330000,2.330000,64523047
2021-04-01,2.240000,2.300000,1.950000,2.170000,2.170000,46094711
2021-05-01,2.130000,2.270000,1.860000,2.210000,2.210000,32511942
2021-06-01,2.220000,2.230000,2.010000,2.190000,2.190000,14806387
2021-06-18,2.150000,2.230000,2.140000,2.190000,2.190000,2527000
